wavelength flux
5112.6875 56216.94
5113.9375 56299.92
5115.1875 56424.34
5116.4375 57218.96
5117.6875 57079.62
5118.9375 56007.85
5120.1875 56360.39
5121.4375 54573.66
5122.6875 55564.79
5123.9375 54389.38
5125.1875 56215.65
5126.4375 56463.15
5127.6875 55341.23
5128.9375 54735.68
5130.1875 55030.06
5131.4375 53191.57
5132.6875 53687.94
5133.9375 54135.38
5135.1875 55093.83
5136.4375 55043.25
5137.6875 54705.49
5138.9375 53916.97
5140.1875 55317.21
5141.4375 56501.93
5142.6875 55572.65
5143.9375 55297.3
5145.1875 53212.48
5146.4375 54009.61
5147.6875 54087.69
5148.9375 54096.84
5150.1875 53762.61
5151.4375 53364.52
5152.6875 54314.74
5153.9375 52885.26
5155.1875 53536.83
5156.4375 54088.9
5157.6875 54451.45
5158.9375 54836.39
5160.1875 54391.8
5161.4375 53622.04
5162.6875 53932.42
5163.9375 52728.91
5165.1875 52251.4
5166.4375 53708.88
5167.6875 53859.39
5168.9375 53809.56
5170.1875 52544.99
5171.4375 52418.05
5172.6875 53611.94
5173.9375 53549.59
5175.1875 52550.33
5176.4375 51931.65
5177.6875 52237.97
5178.9375 52731.95
5180.1875 53747.76
5181.4375 53995.41
5182.6875 53025.66
5183.9375 53592.28
5185.1875 52825.11
5186.4375 54302.02
5187.6875 52137.68
5188.9375 49780.1
5190.1875 47361.05
5191.4375 47760.62
5192.6875 49586.02
5193.9375 49930.65
5195.1875 48292.96
5196.4375 49272.4
5197.6875 52544.99
5198.9375 54388.98
5200.1875 54171.52
5201.4375 53228.73
5202.6875 52835.77
5203.9375 51554.13
5205.1875 49236.48
5206.4375 47266.01
5207.6875 47152.3
5208.9375 48598.48
5210.1875 50178.17
5211.4375 52382.86
5212.6875 52219.97
5213.9375 51652.27
5215.1875 50265.06
5216.4375 50485.8
5217.6875 51077.68
5218.9375 51977.02
5220.1875 56831.82
5221.4375 62579.67
5222.6875 61214.87
5223.9375 59736.11
5225.1875 55439.5
5226.4375 51815.15
5227.6875 51269.2
5228.9375 49401.83
5230.1875 49433.96
5231.4375 50024.88
5232.6875 49289.84
5233.9375 50559.09
5235.1875 51632.64
5236.4375 52783.4
5237.6875 51121.92
5238.9375 51223.46
5240.1875 51011.27
5241.4375 51203.82
5242.6875 52050.29
5243.9375 52277.14
5245.1875 52701.84
5246.4375 51463.96
5247.6875 50399.81
5248.9375 48987.55
5250.1875 49510.95
5251.4375 48129.55
5252.6875 50507.45
5253.9375 51823.85
5255.1875 51618.81
5256.4375 51096.92
5257.6875 49465.51
5258.9375 50434.67
5260.1875 51290.56
5261.4375 51291.2
5262.6875 51746.1
5263.9375 51369.53
5265.1875 51627.13
5266.4375 51847.64
5267.6875 51493.99
5268.9375 51203.32
5270.1875 51137.91
5271.4375 50553.36
5272.6875 50402.66
5273.9375 49303.59
5275.1875 49863.67
5276.4375 50138.5
5277.6875 50382.63
5278.9375 51481.91
5280.1875 50562.82
5281.4375 51877.56
5282.6875 51666.17
5283.9375 51090.77
5285.1875 49098.32
5286.4375 49624.79
5287.6875 47800.54
5288.9375 47895.97
5290.1875 47597.12
5291.4375 48822.87
5292.6875 48136.3
5293.9375 48087.87
5295.1875 48777.44
5296.4375 48314.94
5297.6875 49788.13
5298.9375 48662.95
5300.1875 50089.24
5301.4375 49765.79
5302.6875 50682.76
5303.9375 49844.25
5305.1875 50760.42
5306.4375 48855.27
5307.6875 49442.04
5308.9375 49439.13
5310.1875 50563.0
5311.4375 52178.36
5312.6875 51528.93
5313.9375 51892.03
5315.1875 51731.16
5316.4375 50984.35
5317.6875 50069.39
5318.9375 49956.51
5320.1875 50129.82
5321.4375 48800.6
5322.6875 49019.34
5323.9375 49275.16
5325.1875 47843.18
5326.4375 49931.62
5327.6875 51411.43
5328.9375 49474.3
5330.1875 50282.68
5331.4375 50501.68
5332.6875 51690.04
5333.9375 51486.0
5335.1875 51293.17
5336.4375 50527.84
5337.6875 49855.01
5338.9375 50181.27
5340.1875 49538.82
5341.4375 49392.09
5342.6875 50593.6
5343.9375 50496.7
5345.1875 50424.2
5346.4375 49578.64
5347.6875 49324.16
5348.9375 48654.15
5350.1875 47764.01
5351.4375 46540.17
5352.6875 46487.44
5353.9375 47497.01
5355.1875 47931.16
5356.4375 50010.09
5357.6875 49052.29
5358.9375 49163.58
5360.1875 49497.7
5361.4375 48441.4
5362.6875 48699.78
5363.9375 48824.11
5365.1875 48123.38
5366.4375 48519.51
5367.6875 48993.51
5368.9375 48863.32
5370.1875 49161.43
5371.4375 49053.71
5372.6875 48954.93
5373.9375 49364.68
5375.1875 47890.1
5376.4375 49395.1
5377.6875 49509.99
5378.9375 50076.14
5380.1875 50474.94
5381.4375 50061.31
5382.6875 49317.33
5383.9375 49041.39
5385.1875 48783.54
5386.4375 47752.41
5387.6875 48669.68
5388.9375 48205.37
5390.1875 48580.99
5391.4375 47315.76
5392.6875 48441.36
5393.9375 45683.62
5395.1875 45195.07
5396.4375 46237.55
5397.6875 48453.92
5398.9375 48997.06
5400.1875 48966.5
5401.4375 48641.72
5402.6875 50172.3
5403.9375 48180.45
5405.1875 48122.33
5406.4375 48194.05
5407.6875 48420.97
5408.9375 48088.1
5410.1875 47555.21
5411.4375 49113.02
5412.6875 47726.38
5413.9375 47650.48
5415.1875 46699.91
5416.4375 46618.34
5417.6875 46649.21
5418.9375 47329.67
5420.1875 47036.63
5421.4375 44997.56
5422.6875 46576.38
5423.9375 46313.94
5425.1875 46076.92
5426.4375 46931.53
5427.6875 46971.61
5428.9375 45386.03
5430.1875 45043.49
5431.4375 45384.2
5432.6875 45306.18
5433.9375 46048.3
5435.1875 45342.39
5436.4375 47427.69
5437.6875 46977.67
5438.9375 47089.12
5440.1875 47160.03
5441.4375 47348.7
5442.6875 47343.37
5443.9375 46634.21
5445.1875 46856.23
5446.4375 47454.3
5447.6875 46070.89
5448.9375 46783.98
5450.1875 46800.97
5451.4375 48173.05
5452.6875 46873.49
5453.9375 46777.75
5455.1875 46053.11
5456.4375 45543.76
5457.6875 46017.53
5458.9375 46113.43
5460.1875 45068.38
5461.4375 46124.32
5462.6875 46839.02
5463.9375 48129.93
5465.1875 47646.06
5466.4375 47234.68
5467.6875 47299.39
5468.9375 46898.74
5470.1875 45819.34
5471.4375 44146.71
5472.6875 44934.1
5473.9375 45914.32
5475.1875 46492.82
5476.4375 46964.9
5477.6875 44606.52
5478.9375 45451.7
5480.1875 45217.09
5481.4375 44481.33
5482.6875 46871.84
5483.9375 46644.1
5485.1875 46295.87
5486.4375 45610.52
5487.6875 44863.46
5488.9375 45411.85
5490.1875 45946.79
5491.4375 46579.5
5492.6875 45911.7
5493.9375 46059.9
5495.1875 46478.48
5496.4375 46173.19
5497.6875 45066.98
5498.9375 44680.66
5500.1875 44089.71
5501.4375 44010.33
5502.6875 44937.95
5503.9375 44359.14
5505.1875 44939.38
5506.4375 43384.1
5507.6875 45060.83
5508.9375 45602.77
5510.1875 46185.88
5511.4375 45399.09
5512.6875 45572.93
5513.9375 44376.28
5515.1875 44659.76
5516.4375 45367.7
5517.6875 45752.67
5518.9375 45002.2
5520.1875 46034.18
5521.4375 44654.91
5522.6875 45095.35
5523.9375 44825.69
5525.1875 45186.64
5526.4375 45111.59
5527.6875 44477.15
5528.9375 44637.49
5530.1875 44269.82
5531.4375 43357.2
5532.6875 44674.24
5533.9375 44937.08
5535.1875 43882.85
5536.4375 44932.24
5537.6875 44660.21
5538.9375 44589.13
5540.1875 44297.19
5541.4375 45101.83
5542.6875 45968.79
5543.9375 46110.15
5545.1875 46127.13
5546.4375 45949.09
5547.6875 45602.47
5548.9375 45204.66
5550.1875 44648.08
5551.4375 43911.91
5552.6875 43515.21
5553.9375 43858.02
5555.1875 43859.61
5556.4375 44010.88
5557.6875 44173.35
5558.9375 43770.58
5560.1875 43589.44
5561.4375 44654.52
5562.6875 46245.53
5563.9375 45634.0
5565.1875 45532.94
5566.4375 44484.56
5567.6875 44526.69
5568.9375 43641.15
5570.1875 45337.08
5571.4375 45974.06
5572.6875 42223.0
5573.9375 38522.25
5575.1875 53732.25
5576.4375 350.81
5577.6875 10541.79
5578.9375 45372.6
5580.1875 43141.57
5581.4375 38843.54
5582.6875 43450.86
5583.9375 44593.58
5585.1875 45483.86
5586.4375 45353.13
5587.6875 43395.31
5588.9375 43969.4
5590.1875 43456.79
5591.4375 44176.75
5592.6875 43780.65
5593.9375 43112.04
5595.1875 43168.65
5596.4375 43495.09
5597.6875 43524.4
5598.9375 43837.7
5600.1875 43351.68
5601.4375 43594.22
5602.6875 44092.2
5603.9375 44660.34
5605.1875 44411.3
5606.4375 44376.09
5607.6875 43610.8
5608.9375 42882.27
5610.1875 42550.54
5611.4375 42066.93
5612.6875 41731.0
5613.9375 41774.39
5615.1875 41718.54
5616.4375 42034.16
5617.6875 42103.51
5618.9375 43032.91
5620.1875 43164.2
5621.4375 43104.06
5622.6875 42457.0
5623.9375 42471.88
5625.1875 41403.83
5626.4375 41867.55
5627.6875 42458.41
5628.9375 42312.08
5630.1875 42633.15
5631.4375 43443.86
5632.6875 43370.37
5633.9375 42970.21
5635.1875 43919.93
5636.4375 43921.34
5637.6875 44371.5
5638.9375 43499.12
5640.1875 41771.01
5641.4375 40535.99
5642.6875 41825.45
5643.9375 42930.31
5645.1875 42218.46
5646.4375 41817.43
5647.6875 42062.02
5648.9375 41785.95
5650.1875 42062.18
5651.4375 41839.07
5652.6875 42123.94
5653.9375 42797.4
5655.1875 42370.31
5656.4375 42440.36
5657.6875 42914.09
5658.9375 41890.97
5660.1875 41625.98
5661.4375 42685.87
5662.6875 42150.43
5663.9375 42355.67
5665.1875 41275.3
5666.4375 42178.78
5667.6875 41411.16
5668.9375 41787.44
5670.1875 42270.57
5671.4375 41327.74
5672.6875 42305.37
5673.9375 41611.21
5675.1875 41585.67
5676.4375 42979.62
5677.6875 42622.83
5678.9375 41973.96
5680.1875 42033.02
5681.4375 41188.49
5682.6875 41060.32
5683.9375 40786.41
5685.1875 41760.62
5686.4375 42126.85
5687.6875 41568.97
5688.9375 41890.46
5690.1875 42527.92
5691.4375 41345.36
5692.6875 41877.64
5693.9375 41542.42
5695.1875 42220.11
5696.4375 42527.27
5697.6875 42184.53
5698.9375 42533.7
5700.1875 42165.5
5701.4375 41875.89
5702.6875 42252.78
5703.9375 42411.85
5705.1875 42798.17
5706.4375 41785.76
5707.6875 41391.57
5708.9375 41548.05
5710.1875 42253.06
5711.4375 42428.01
5712.6875 41383.73
5713.9375 41615.5
5715.1875 41596.33
5716.4375 42643.17
5717.6875 43347.33
5718.9375 42891.42
5720.1875 42222.33
5721.4375 42672.58
5722.6875 42675.68
5723.9375 42072.78
5725.1875 42450.11
5726.4375 42351.12
5727.6875 41835.01
5728.9375 40642.07
5730.1875 41219.96
5731.4375 41087.57
5732.6875 40536.87
5733.9375 40053.17
5735.1875 39626.18
5736.4375 40002.95
5737.6875 39543.71
5738.9375 40010.01
5740.1875 41042.01
5741.4375 41807.73
5742.6875 41078.5
5743.9375 41972.69
5745.1875 41829.16
5746.4375 41357.66
5747.6875 41973.54
5748.9375 41023.34
5750.1875 41471.46
5751.4375 41680.1
5752.6875 41555.35
5753.9375 40936.67
5755.1875 41657.4
5756.4375 41989.34
5757.6875 41149.3
5758.9375 40902.55
5760.1875 40770.14
5761.4375 40824.34
5762.6875 40816.26
5763.9375 40533.45
5765.1875 40694.58
5766.4375 40545.3
5767.6875 40565.99
5768.9375 40324.16
5770.1875 40218.83
5771.4375 40526.19
5772.6875 40175.54
5773.9375 40509.08
5775.1875 40248.97
5776.4375 41071.74
5777.6875 41043.32
5778.9375 40052.92
5780.1875 41364.58
5781.4375 41560.42
5782.6875 40702.41
5783.9375 41299.93
5785.1875 40183.33
5786.4375 39863.55
5787.6875 39814.76
5788.9375 39875.76
5790.1875 39986.57
5791.4375 40166.69
5792.6875 41316.69
5793.9375 40067.09
5795.1875 40958.17
5796.4375 40628.87
5797.6875 40038.54
5798.9375 39542.59
5800.1875 38908.5
5801.4375 39906.99
5802.6875 39607.89
5803.9375 39520.35
5805.1875 38452.23
5806.4375 37565.85
5807.6875 37358.64
5808.9375 38112.14
5810.1875 38426.15
5811.4375 38553.74
5812.6875 39165.0
5813.9375 39529.67
5815.1875 39168.25
5816.4375 39717.08
5817.6875 39892.32
5818.9375 39235.64
5820.1875 39691.43
5821.4375 40137.02
5822.6875 39639.08
5823.9375 39878.43
5825.1875 39952.07
5826.4375 39431.1
5827.6875 40061.7
5828.9375 40042.94
5830.1875 40206.49
5831.4375 40575.32
5832.6875 40477.29
5833.9375 39759.47
5835.1875 39274.73
5836.4375 39457.83
5837.6875 39628.72
5838.9375 39610.27
5840.1875 39702.35
5841.4375 40227.76
5842.6875 40042.08
5843.9375 39751.96
5845.1875 39940.67
5846.4375 40409.67
5847.6875 40630.62
5848.9375 40128.85
5850.1875 40667.83
5851.4375 39234.26
5852.6875 39863.81
5853.9375 40522.32
5855.1875 39851.45
5856.4375 40238.12
5857.6875 39422.29
5858.9375 39832.28
5860.1875 39757.56
5861.4375 39236.59
5862.6875 40351.83
5863.9375 38685.78
5865.1875 39688.82
5866.4375 40237.7
5867.6875 40002.44
5868.9375 39966.23
5870.1875 39903.66
5871.4375 38527.25
5872.6875 38682.81
5873.9375 38600.52
5875.1875 38241.38
5876.4375 38252.98
5877.6875 37856.62
5878.9375 38242.78
5880.1875 38052.52
5881.4375 37865.18
5882.6875 37200.22
5883.9375 37691.69
5885.1875 37708.33
5886.4375 37628.86
5887.6875 38768.53
5888.9375 38074.71
5890.1875 38631.63
5891.4375 39592.38
5892.6875 36709.73
5893.9375 37427.28
5895.1875 38275.32
5896.4375 38978.59
5897.6875 38256.62
5898.9375 37794.94
5900.1875 46231.59
5901.4375 69801.06
5902.6875 72709.69
5903.9375 50670.41
5905.1875 39926.98
5906.4375 38962.0
5907.6875 38497.49
5908.9375 38673.7
5910.1875 38462.73
5911.4375 37964.44
5912.6875 37908.67
5913.9375 36873.28
5915.1875 33579.5
5916.4375 31138.71
5917.6875 33128.56
5918.9375 34540.31
5920.1875 34493.07
5921.4375 32890.34
5922.6875 32094.45
5923.9375 33645.67
5925.1875 36335.28
5926.4375 36914.4
5927.6875 37440.74
5928.9375 37165.59
5930.1875 37991.63
5931.4375 37419.95
5932.6875 37562.77
5933.9375 37200.17
5935.1875 37908.74
5936.4375 37911.22
5937.6875 37575.17
5938.9375 36835.46
5940.1875 36858.84
5941.4375 36202.59
5942.6875 36492.92
5943.9375 36628.93
5945.1875 36968.28
5946.4375 37425.84
5947.6875 36165.71
5948.9375 36609.86
5950.1875 37022.53
5951.4375 36897.92
5952.6875 37589.2
5953.9375 37323.17
5955.1875 36475.85
5956.4375 35993.76
5957.6875 36273.34
5958.9375 36481.7
5960.1875 36824.34
5961.4375 37126.04
5962.6875 36393.31
5963.9375 36758.54
5965.1875 36942.78
5966.4375 36250.48
5967.6875 36932.62
5968.9375 36443.18
5970.1875 36713.98
5971.4375 36226.31
5972.6875 36827.58
5973.9375 37429.73
5975.1875 37757.24
5976.4375 36895.96
5977.6875 36186.5
5978.9375 36484.07
5980.1875 36460.91
5981.4375 36277.8
5982.6875 36808.11
5983.9375 36763.83
5985.1875 36969.79
5986.4375 36704.75
5987.6875 37113.14
5988.9375 37254.58
5990.1875 36964.95
5991.4375 36118.86
5992.6875 35994.35
5993.9375 37086.91
5995.1875 37167.45
5996.4375 36697.37
5997.6875 36899.19
5998.9375 37125.02
6000.1875 36686.07
6001.4375 36552.97
6002.6875 36463.98
6003.9375 36037.91
6005.1875 36779.28
6006.4375 36757.75
6007.6875 36822.07
6008.9375 35802.3
6010.1875 35240.37
6011.4375 35594.31
6012.6875 35914.68
6013.9375 35580.56
6015.1875 36377.61
6016.4375 35881.27
6017.6875 36504.15
6018.9375 36503.6
6020.1875 36344.69
6021.4375 36027.51
6022.6875 35812.45
6023.9375 35670.86
6025.1875 35899.5
6026.4375 35268.97
6027.6875 35756.94
6028.9375 35712.22
6030.1875 35164.08
6031.4375 35129.04
6032.6875 35455.88
6033.9375 35263.2
6035.1875 35586.81
6036.4375 34846.88
6037.6875 34975.01
6038.9375 34880.6
6040.1875 35130.32
6041.4375 35450.26
6042.6875 35326.18
6043.9375 34470.58
6045.1875 35236.5
6046.4375 35754.0
6047.6875 35249.61
6048.9375 35218.72
6050.1875 35399.9
6051.4375 35934.14
6052.6875 35349.19
6053.9375 34989.34
6055.1875 35454.3
6056.4375 35729.88
6057.6875 36030.67
6058.9375 35829.53
6060.1875 36042.92
6061.4375 36017.82
6062.6875 36332.88
6063.9375 35403.67
6065.1875 36620.96
6066.4375 35771.22
6067.6875 36151.9
6068.9375 35584.51
6070.1875 35739.58
6071.4375 35200.0
6072.6875 36016.46
6073.9375 36052.7
6075.1875 35764.92
6076.4375 35951.81
6077.6875 35527.93
6078.9375 36140.17
6080.1875 35846.2
6081.4375 35903.28
6082.6875 35884.67
6083.9375 35264.98
6085.1875 35113.45
6086.4375 35398.29
6087.6875 35623.26
6088.9375 35465.82
